sample_id	singscore_F	singscore_M	ssgsea_F	ssgsea_M	delta_singscore	delta_ssgsea	group	pair_id
1M_RCS	0.161120828747001	NA	NA	NA	-0.5805566581882515	0	met	1
1P_RCS	0.564709026908437	NA	NA	NA	3.6489372139993234e-4	0	primary	1
BM12	0.0607550612488253	NA	NA	NA	-0.7250223231389434	0	met	12
BP12	0.661189928426494	NA	NA	NA	0.13923871435054697	0	primary	12
BM17	0.0982285168266545	NA	NA	NA	-0.671083337636245	0	met	17
BP17	3.26781496535743	NA	NA	NA	3.8911934756609137	0	primary	17
BM19-2	0.273679847404994	NA	NA	NA	-0.41854012723391126	0	met	19
BP19-2	0.139095185841543	NA	NA	NA	-0.6122601884617714	0	primary	19
2M_RCS	0.0458635905401114	NA	NA	NA	-0.7464569842953703	0	met	2
2P_RCS	1.48889797105626	NA	NA	NA	1.3306349019572254	0	primary	2
BM25	0.486445375339564	NA	NA	NA	-0.11228716631064257	0	met	25
BP25	0.659313586874007	NA	NA	NA	0.13653792366452364	0	primary	25
BM29	0.0690536860546673	NA	NA	NA	-0.7130773504591493	0	met	29
BP29	0.425739515286403	NA	NA	NA	-0.19966668482170216	0	primary	29
3M_RCS	0.301478625349987	NA	NA	NA	-0.3785267935968917	0	met	3
3P_RCS	0.621583930307285	NA	NA	NA	0.08223016455361154	0	primary	3
4M_RCS	0.652192924075296	NA	NA	NA	0.12628849986448018	0	met	4
4P_RCS	0.790631554373284	NA	NA	NA	0.32555593217127105	0	primary	4
BM47	0.0438164230328031	NA	NA	NA	-0.7494036604637573	0	met	47
BP47	1.43925989117124	NA	NA	NA	1.2591862557084401	0	primary	47
5M_RCS	0.107261826168939	NA	NA	NA	-0.6580808660429086	0	met	5
5P_RCS	0.270630268988097	NA	NA	NA	-0.4229296654678944	0	primary	5
BM51	0.533979026467081	NA	NA	NA	-0.043867617605495055	0	met	51
BP51	2.34563975973013	NA	NA	NA	2.5638220261832774	0	primary	51
BM52	0.17809810663237	NA	NA	NA	-0.5561197032393732	0	met	52
BP52	0.138291045570024	NA	NA	NA	-0.6134176613923773	0	primary	52
BM6	0.108212605704912	NA	NA	NA	-0.6567123217542562	0	met	6
BP6	0.760764551517721	NA	NA	NA	0.282565612511816	0	primary	6
6M_RCS	0.304340743727049	NA	NA	NA	-0.3744070838112083	0	met	6
6P_RCS	1.38158548237046	NA	NA	NA	1.1761701833390026	0	primary	6
BM62	0.0921033146743119	NA	NA	NA	-0.6798999035227328	0	met	62
BP62	1.30604133122855	NA	NA	NA	1.067432549981593	0	primary	62
BM64	0.0687101583574184	NA	NA	NA	-0.7135718214172173	0	met	64
BP64	0.812428717238272	NA	NA	NA	0.3569305901430368	0	primary	64
BM68	0.134347386867923	NA	NA	NA	-0.6190941314771397	0	met	68
BP68	0.509933239309563	NA	NA	NA	-0.07847892699479234	0	primary	68
BM7	0.259118277697592	NA	NA	NA	-0.43949993158696343	0	met	7
BP7	0.892763912274423	NA	NA	NA	0.4725644129009011	0	primary	7
BM71	0.0898206476893791	NA	NA	NA	-0.6831855557133096	0	met	71
BP71	0.893272557998682	NA	NA	NA	0.4732965533967205	0	primary	71
BM72	0.148646001442079	NA	NA	NA	-0.598512822592448	0	met	72
BP72	0.791908710126439	NA	NA	NA	0.3273942597178471	0	primary	72
MAYO_BM_1	1e-5	NA	NA	NA	-0.8124582675304569	0	met	1
MAYO_BP_1	0.59810950567473	NA	NA	NA	0.04844126971017201	0	primary	1
MAYO_BM_10	1e-5	NA	NA	NA	-0.8124582675304569	0	met	10
MAYO_BP_10	1e-5	NA	NA	NA	-0.8124582675304569	0	primary	10
MAYO_BM_11	1e-5	NA	NA	NA	-0.8124582675304569	0	met	11
MAYO_BP_11	1e-5	NA	NA	NA	-0.8124582675304569	0	primary	11
MAYO_BM_12	1e-5	NA	NA	NA	-0.8124582675304569	0	met	12
MAYO_BP_12	0.0152350729068958	NA	NA	NA	-0.790543422098149	0	primary	12
MAYO_BM_13	1e-5	NA	NA	NA	-0.8124582675304569	0	met	13
MAYO_BP_13	0.518876352869626	NA	NA	NA	-0.06560628247276916	0	primary	13
MAYO_BM_14	0.317850928204361	NA	NA	NA	-0.3549606347601723	0	met	14
MAYO_BP_14	0.248840594660959	NA	NA	NA	-0.45429354449951975	0	primary	14
MAYO_BM_15	0.176635325338346	NA	NA	NA	-0.5582252186714398	0	met	15
MAYO_BP_15	2.98244594526469	NA	NA	NA	3.4804356418728704	0	primary	15
MAYO_BM_16	1e-5	NA	NA	NA	-0.8124582675304569	0	met	16
MAYO_BP_16	0.944091937974018	NA	NA	NA	0.5464455533348941	0	primary	16
MAYO_BM_17	0.0117198683429619	NA	NA	NA	-0.79560317880031	0	met	17
MAYO_BP_17	1.93585308309998	NA	NA	NA	1.973978435056603	0	primary	17
MAYO_BM_18	1e-5	NA	NA	NA	-0.8124582675304569	0	met	18
MAYO_BP_18	1.55602213374168	NA	NA	NA	1.4272528727886036	0	primary	18
MAYO_BP_19	1.00507178230134	NA	NA	NA	0.6342194425695514	0	primary	19
MAYO_BM_19	0.100779571026209	NA	NA	NA	-0.6674113710837987	0	met	19
MAYO_BM_2	1e-5	NA	NA	NA	-0.8124582675304569	0	met	2
MAYO_BP_2	2.52453467622025	NA	NA	NA	2.8213219059855557	0	primary	2
MAYO_BP_20	0.434221821407586	NA	NA	NA	-0.18745732275874288	0	primary	20
MAYO_BM_20	1e-5	NA	NA	NA	-0.8124582675304569	0	met	20
MAYO_BP_21	1.10470128320866	NA	NA	NA	0.7776253314105167	0	primary	21
MAYO_BM_21	1e-5	NA	NA	NA	-0.8124582675304569	0	met	21
MAYO_BP_22	0.842836584623303	NA	NA	NA	0.4006994257830453	0	primary	22
MAYO_BM_22	1e-5	NA	NA	NA	-0.8124582675304569	0	met	22
MAYO_BP_23	0.562528928129414	NA	NA	NA	-0.0027731226323880124	0	primary	23
MAYO_BM_23	0.219591010471771	NA	NA	NA	-0.4963951567798134	0	met	23
MAYO_BP_24	1.3053821905242	NA	NA	NA	1.0664837882421714	0	primary	24
MAYO_BM_24	1.06158150244631	NA	NA	NA	0.7155590716125814	0	met	24
MAYO_BM_3	1.25979680576927	NA	NA	NA	1.0008685582209011	0	met	3
MAYO_BP_3	1.70749255502018	NA	NA	NA	1.6452781584594147	0	primary	3
MAYO_BM_4	1e-5	NA	NA	NA	-0.8124582675304569	0	met	4
MAYO_BP_4	1.01562184092537	NA	NA	NA	0.649405110675133	0	primary	4
MAYO_BM_5	0.102793606236575	NA	NA	NA	-0.6645123852726762	0	met	5
MAYO_BP_5	1.26177709079809	NA	NA	NA	1.003718964296714	0	primary	5
MAYO_BM_6	0.0758721231845214	NA	NA	NA	-0.7032629478152722	0	met	6
MAYO_BP_6	1.69040201975811	NA	NA	NA	1.6206781817687257	0	primary	6
MAYO_BM_7	1e-5	NA	NA	NA	-0.8124582675304569	0	met	7
MAYO_BP_7	1e-5	NA	NA	NA	-0.8124582675304569	0	primary	7
MAYO_BM_8	1e-5	NA	NA	NA	-0.8124582675304569	0	met	8
MAYO_BP_8	0.588108304485093	NA	NA	NA	0.03404562250712719	0	primary	8
MAYO_BM_9	1e-5	NA	NA	NA	-0.8124582675304569	0	met	9
MAYO_BP_9	0.253274377525777	NA	NA	NA	-0.44791159370315325	0	primary	9
