dataset	sample	inhibitor_sum	target_sum	ISI	Proteo_DeltaFM	organ
PXD046330	SKBR3_Cyto_control_12	1.0	0.0		0.9975631169709124	InVitro
PXD046330	SKBR3_Cyto_control_21	0.0	0.0		0.0636378849183461	InVitro
PXD046330	SKBR3_Cyto_control_23	0.0	0.0		-0.0161219396713527	InVitro
PXD046330	SKBR3_Cyto_control_32	1.0	0.0		1.0271592405513297	InVitro
PXD046330	SKBR3_Cyto_treatement_11	0.0	0.0		0.7452251452445148	InVitro
PXD046330	SKBR3_Cyto_treatement_13	0.0	0.0		0.8305899514639087	InVitro
PXD046330	SKBR3_Cyto_treatement_22	0.0	0.0		1.1189181378959807	InVitro
PXD046330	SKBR3_Cyto_treatement_31	1.0	0.0		2.966463206227739	InVitro
PXD046330	SKBR3_Cyto_treatement_33	0.0	0.0		2.6798632478007662	InVitro
PXD046330	SKBR3_Nucl_control_12	1.0	0.0		-1.621697808837189	InVitro
PXD046330	SKBR3_Nucl_control_21	0.0	0.0		-1.3569120430477677	InVitro
PXD046330	SKBR3_Nucl_control_23	0.0	0.0		-1.8667430608632445	InVitro
PXD046330	SKBR3_Nucl_control_32	1.0	0.0		-1.247610071152967	InVitro
PXD046330	SKBR3_Nucl_treatement_11	0.0	0.0		-2.364347896346134	InVitro
PXD046330	SKBR3_Nucl_treatement_13	0.0	0.0		-2.264699465987439	InVitro
PXD046330	SKBR3_Nucl_treatement_22	1.0	0.0		-0.3993044604931713	InVitro
PXD046330	SKBR3_Nucl_treatement_31	511.0	0.0		0.1355582053277533	InVitro
PXD046330	SKBR3_Nucl_treatement_33	8191.0	0.0		0.5724586099980234	InVitro
PXD005719	YSM_20150522_CLM_231BR_03	0.0	0.0			Brain
PXD005719	YSM_20150522_CLM_231_03	0.0	0.0			Other
PXD005719	YSM_20150522_CLM_361_03	1.0	0.0			Other
PXD005719	YSM_20150522_CLM_CRL_03	63.0	0.0			Other
PXD005719	YSM_20150522_CLM_HTB131_03	0.0	0.0			Other
PXD005719	YSM_20150522_CLM_HTB22_03	0.0	0.0			Other
PXD051579	JIMT1_BR_R1	268435495.0	0.0		-1.8382106707586925	InVitro
PXD051579	JIMT1_BR_R3	524564.0	0.0		-2.453711221535557	InVitro
PXD051579	SUM190_BR_R1	2.85449538541192e+45	0.0		0.100299292101748	InVitro
PXD051579	SUM190_BR_R3	5.192296858534828e+33	0.0		1.88246428409249	InVitro
PXD051579	SUM190_P_R2	4.611686018427924e+18	0.0		1.9204787129124408	InVitro
PXD051579	SUM190_P_R3	7.205759403793424e+16	0.0		0.3886796031875766	InVitro
