threshold	fpr	tpr
inf	0.0	0.0
0.8171125458704969	0.0	0.058823529411764705
0.4250713844430395	0.07272727272727272	0.058823529411764705
0.34816179820770626	0.07272727272727272	0.17647058823529413
0.3403918174507577	0.10909090909090909	0.17647058823529413
0.33127705230256144	0.10909090909090909	0.23529411764705882
0.3282315420213129	0.12727272727272726	0.23529411764705882
0.3184879142432804	0.12727272727272726	0.35294117647058826
0.2997596750512131	0.2	0.35294117647058826
0.29636727040898886	0.2	0.4117647058823529
0.29379945240707045	0.21818181818181817	0.4117647058823529
0.2862358802850696	0.21818181818181817	0.47058823529411764
0.2783444951618973	0.23636363636363636	0.47058823529411764
0.27641438175081384	0.23636363636363636	0.5294117647058824
0.26842703368418297	0.2727272727272727	0.5294117647058824
0.26816486914577065	0.2727272727272727	0.5882352941176471
0.21512140265130425	0.38181818181818183	0.5882352941176471
0.20911019112929663	0.38181818181818183	0.7058823529411765
0.2085096168385853	0.41818181818181815	0.7058823529411765
0.20652363435703008	0.41818181818181815	0.7647058823529411
0.17020245325078354	0.6181818181818182	0.7647058823529411
0.1581898157437315	0.6181818181818182	0.8235294117647058
0.13739046342095274	0.7090909090909091	0.8235294117647058
0.1353862889144873	0.7090909090909091	0.8823529411764706
0.08857894127274175	0.9272727272727272	0.8823529411764706
0.08759006480215589	0.9272727272727272	0.9411764705882353
0.08076227276756273	0.9636363636363636	0.9411764705882353
0.07742610925475159	0.9636363636363636	1.0
0.06156351137938761	1.0	1.0
