dataset	sample	ECM_nc_score	control_footprint_index
PXD046330	SKBR3_Cyto_control_12	-3.068894625404308	-6.578938713093386
PXD046330	SKBR3_Cyto_control_21	-inf	-6.669593751188334
PXD046330	SKBR3_Cyto_control_23	-inf	-8.968666793195208
PXD046330	SKBR3_Cyto_control_32	-2.432631966529758	-7.527477006060396
PXD046330	SKBR3_Cyto_treatement_11	-inf	-7.81698362325538
PXD046330	SKBR3_Cyto_treatement_13	-inf	-7.28848161179422
PXD046330	SKBR3_Cyto_treatement_22	-inf	-7.044394119358454
PXD046330	SKBR3_Cyto_treatement_31	-2.67053417680666	-6.353146825498083
PXD046330	SKBR3_Cyto_treatement_33	-2.6269508429812696	-5.894817763307943
PXD046330	SKBR3_Nucl_control_12	-3.083883781266752	-6.757556688939454
PXD046330	SKBR3_Nucl_control_21	-3.670250105986507	-7.804131021183318
PXD046330	SKBR3_Nucl_control_23	-3.3682726303334567	-6.867278739709661
PXD046330	SKBR3_Nucl_control_32	-2.5706739897768154	-6.9924663273145935
PXD046330	SKBR3_Nucl_treatement_11	-3.5052343540589055	-6.804776377955829
PXD046330	SKBR3_Nucl_treatement_13	-3.955685495214714	-7.491853096329676
PXD046330	SKBR3_Nucl_treatement_22	-4.182008244994263	-7.240791332161956
PXD046330	SKBR3_Nucl_treatement_31	-2.9536739295514236	-6.336878436353334
PXD046330	SKBR3_Nucl_treatement_33	-3.190462080946686	-6.602884408718419
PXD005719	YSM_20150522_CLM_231BR_03	-1.4749288226814803	-4.400879436282184
PXD005719	YSM_20150522_CLM_231_03	-0.9256520724823878	-5.643856189774724
PXD005719	YSM_20150522_CLM_361_03	-1.1796090732175584	-4.169925001442312
PXD005719	YSM_20150522_CLM_CRL_03	-0.7321977259435982	-3.8988532765431
PXD005719	YSM_20150522_CLM_HTB131_03	-1.7223345806055852	-4.523561956057012
PXD005719	YSM_20150522_CLM_HTB22_03	-1.2997151914205876	-4.426264754702098
PXD051579	JIMT1_BR_R1	19.489135391750263	-2.867896463992655
PXD051579	JIMT1_BR_R3	21.0983847376999	-3.3953012812175816
PXD051579	SUM190_BR_R1	-1.5010094836775607	-3.954196310386875
PXD051579	SUM190_BR_R3	-1.7875397513102829	-3.5077946401986964
PXD051579	SUM190_P_R2	-2.0343354671911866	-3.6166713604484944
PXD051579	SUM190_P_R3	-2.4588329284067334	-3.616258631210696
