threshold	net_benefit_model	net_benefit_treat_all	net_benefit_treat_none	variant
0.05	0.01370361387339316	-0.021101139946640802	0.0	serpin_extended
0.1	0.014848950332821301	-0.07782898105478751	0.0	serpin_extended
0.15000000000000002	0.014231499051233398	-0.1412306858227162	0.0	serpin_extended
0.2	0.012096774193548387	-0.21255760368663593	0.0	serpin_extended
0.25	0.012672811059907833	-0.293394777265745	0.0	serpin_extended
0.3	0.012508229098090849	-0.38578011849901256	0.0	serpin_extended
0.35000000000000003	0.011875221552640907	-0.4923785891527828	0.0	serpin_extended
0.4	0.008832565284178188	-0.6167434715821812	0.0	serpin_extended
0.45	0.0077503142019271064	-0.7637201508169249	0.0	serpin_extended
0.5	0.006912442396313364	-0.9400921658986174	0.0	serpin_extended
0.55	0.007552483358934971	-1.1556579621095753	0.0	serpin_extended
0.6000000000000001	0.008640552995391704	-1.4251152073732725	0.0	serpin_extended
0.6500000000000001	0.008229098090849242	-1.7715602369980261	0.0	serpin_extended
0.7000000000000001	0.008064516129032258	-2.233486943164363	0.0	serpin_extended
0.7500000000000001	0.0069124423963133645	-2.8801843317972367	0.0	serpin_extended
0.8	0.0069124423963133645	-3.8502304147465445	0.0	serpin_extended
0.8500000000000001	0.0034562211981566822	-5.466973886328729	0.0	serpin_extended
0.9000000000000001	0.001152073732718894	-8.700460829493101	0.0	serpin_extended
